origin,destination,length
Bourg-St-Maurice,Grenoble-Gare-Routière,160
Aubenas-Pl.-de-la-Paix,St-Martin-d'Hères,185
Montélimar-G-Routière,St-Martin-d'Hères,120
Privas-Cours-du-Palais,St-Martin-d'Hères,145
Annonay-Gare-Route,St-Martin-d'Hères,160
Saint-Claude,Lyon-Part-Dieu-Gare-Rou,135
Bourgoin-Jallieu,Lyon-Part-Dieu-Gare-Rou,51
Bourg-St-Maurice,Chambéry-Chal.-les-Eaux,145
Chambéry-Chal.-les-Eaux,Pont-de-Beauvoisin,48
Thonon-les-Bains,Grenoble-Gare-Routière,200
Mâcon-Ville,Lyon-Part-Dieu-Gare-Rou,75
Diemeringen,Sarralbe Centre,36
Diemeringen,Sarre-Union,20
Dinan,St-Brieuc,60
Dinan,Lamballe,73
Franois,St-Vit,14
Auxonne,Villers-les-Pots,10
Dijon-Ville,Neuilly-lès-Dijon,25
Bellegarde-s-V. Gare,St-Gervais-L-B-Le-Fayet,135
Bellegarde-s-V. Gare,Evian-les-Bains,115
Annemasse,St-Gervais-L-B-Le-Fayet,111
Bellegarde-s-V. Gare,Chamonix-Mont-Blanc,185
Annemasse,Bellegarde-s-V. Gare,71
Evian-les-Bains,Thonon-les-Bains,20
Cluses (Hte-Savoie),St-Gervais-L-B-Le-Fayet,40
Annemasse,La Roche-sur-Foron,30
Annecy,Annemasse,60
Ambérieu-en-Bugey,St-Rambert-en-Bugey,15
Ambérieu-en-Bugey,Virieu-le-Grand-Belley,52
Boën,Noirétable,26
Boën,Saint-Etienne-Chtx GR,92
Montbrison,Noirétable,44
Noirétable,Saint-Etienne-Chtx GR,108
Boën,Montbrison,18
Montbrison,Saint-Etienne-Chtx GR,60
Bourg-en-Bresse Gare R,Lyon-Part-Dieu-Gare-Rou,81
Bourg-en-Bresse Gare R,Mâcon-Loché-TGV,42
Bourg-en-Bresse Gare R,Mâcon-Ville,62
Ambérieu-en-Bugey,Lyon-Part-Dieu-Gare-Rou,63
Chambéry-Chal.-les-Eaux,St-André-le-Gaz,71
Chambéry-Chal.-les-Eaux,La Tour-du-Pin,86
Gap,Grenoble-Gare-Routière,127
Clelles-Mens,Gap,80
Clelles-Mairie,Grenoble-Gare-Routière,81
Vif,Grenoble-Gare-Routière,51
Clelles-Mens,Grenoble-Gare-Routière,73
Sain-Bel,Lyon-St-Paul-la-Feuilée,60
Sain-Bel,Lyon-St-Paul-Quai-Bondy,60
